time,x_c,x_c_dot,gamma,gamma_dot
3.933933933933933869e+00,3.492755775394566164e+00,1.001243066456413811e+00,1.095851294991044214e-04,-6.655975362031372501e-03
3.963963963963963888e+00,3.522822674933187237e+00,1.001210833339747142e+00,-8.020508220284531533e-05,-5.977311099101949646e-03
3.993993993993993907e+00,3.552888514108807794e+00,1.001172380376934568e+00,-2.500145665416723625e-04,-5.321081092369938162e-03
4.024024024024024371e+00,3.582953118238855428e+00,1.001128795412142169e+00,-4.005179689525875729e-04,-4.693301560261070593e-03
4.054054054054054390e+00,3.613016342085965782e+00,1.001080876173081169e+00,-5.325129625552546455e-04,-4.094594087088857838e-03
4.084084084084084409e+00,3.643078066754193767e+00,1.001029295062398905e+00,-6.468756202414706943e-04,-3.523667797531413164e-03
4.114114114114114429e+00,3.673138195934349870e+00,1.000974834575632411e+00,-7.445039400935905220e-04,-2.982256059472842852e-03
4.144144144144144448e+00,3.703196655705823126e+00,1.000918216645291903e+00,-8.263365250050826996e-04,-2.471612527723743378e-03
4.174174174174174468e+00,3.733253392299619833e+00,1.000860164072352898e+00,-8.933299470660980689e-04,-1.993815085472316201e-03
4.204204204204204487e+00,3.763308370675990222e+00,1.000801370897415055e+00,-9.464537488555213075e-04,-1.551170191601287506e-03
4.234234234234234506e+00,3.793361575241530392e+00,1.000742232434848500e+00,-9.867303084208709895e-04,-1.140619524799727814e-03
4.264264264264264526e+00,3.823413004813493554e+00,1.000683233911080050e+00,-1.015155485633554211e-03,-7.618110751029720604e-04
4.294294294294294545e+00,3.853462671389065619e+00,1.000624911415572971e+00,-1.032698255001947155e-03,-4.162848415907522749e-04
4.324324324324324564e+00,3.883510600465333251e+00,1.000567642522850464e+00,-1.040332325138724470e-03,-1.031164263808186121e-04
4.354354354354354584e+00,3.913556829313269425e+00,1.000511676477535472e+00,-1.039024902221541121e-03,1.804717102116998079e-04
4.384384384384384603e+00,3.943601403696997298e+00,1.000457348636714539e+00,-1.029692646094334738e-03,4.346787580931691058e-04
4.414414414414414622e+00,3.973644377228023661e+00,1.000405003143497673e+00,-1.013211648284394889e-03,6.587551195211912474e-04
4.444444444444444642e+00,4.003685810767614761e+00,1.000354918400026438e+00,-9.904276257664075458e-04,8.525773953156804514e-04
4.474474474474474661e+00,4.033725773294409400e+00,1.000307074217212433e+00,-9.621956839027441142e-04,1.021513057243049645e-03
4.504504504504504681e+00,4.063764336103819375e+00,1.000261686681843232e+00,-9.292806182247737761e-04,1.165350210184908000e-03
4.534534534534534700e+00,4.093801574544697175e+00,1.000218894083910737e+00,-8.924127174669539914e-04,1.284852694898469452e-03
4.564564564564564719e+00,4.123837567153928241e+00,1.000178747842071392e+00,-8.522884471219442691e-04,1.381985071834992669e-03
4.594594594594594739e+00,4.153872394430496051e+00,1.000141253232688321e+00,-8.095625334078969523e-04,1.459104722743038507e-03
4.624624624624624758e+00,4.183906137356978583e+00,1.000106447514469643e+00,-7.648336660048252102e-04,1.517378255491182680e-03
4.654654654654654777e+00,4.213938877078538425e+00,1.000074354877262817e+00,-7.186530782778587827e-04,1.557755194864083063e-03
4.684684684684684797e+00,4.243970694494169749e+00,1.000044959645122411e+00,-6.715301514003252630e-04,1.581562645661046228e-03
4.714714714714714816e+00,4.274001669447890173e+00,1.000018232988809874e+00,-6.239285667261534668e-04,1.589988766310905001e-03
4.744744744744744835e+00,4.304031880544388677e+00,9.999940963121977111e-01,-5.762742882575297085e-04,1.584880207885440949e-03
4.774774774774774855e+00,4.334061404421288621e+00,9.999724538268349727e-01,-5.289511537037329533e-04,1.568102388652984616e-03
4.804804804804804874e+00,4.364090315103421602e+00,9.999532228016756452e-01,-4.822970890014772701e-04,1.540946970591364727e-03
4.834834834834834894e+00,4.394118683931456104e+00,9.999363051163734362e-01,-4.366111999008718408e-04,1.504756596971895850e-03
4.864864864864864913e+00,4.424146578995721946e+00,9.999216213482957638e-01,-3.921495849468646568e-04,1.460250099417538180e-03
4.894894894894894932e+00,4.454174065066023758e+00,9.999090942871908805e-01,-3.491304817658684770e-04,1.407896058038379718e-03
4.924924924924924952e+00,4.484201204053999135e+00,9.998985773230720797e-01,-3.077495499773580455e-04,1.349429159421607072e-03
